service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date

SSMAY16,1,1,1,1,1,1,1,20160518,20160616
SSMARCH16,1,1,1,1,1,1,1,20160316,20160517
SSMARCH16WKND,0,0,0,0,1,1,1,20160316,20160517
IQSUMMER16,1,1,1,1,1,1,1,20160610,20160911
IQFRIDAY16,0,0,0,0,1,0,0,20160610,20160911
IQSUNDAY16,0,0,0,0,0,0,1,20160610,20160911
HYHS16_1,1,1,1,1,1,1,1,20160527,20160624
HYHS16_2,1,1,1,1,1,1,1,20160625,20160904
HYHS16_3,1,1,1,1,1,1,1,20160905,20161009
HYHS16_4,1,1,1,1,1,1,1,20161010,20161030

//SSJANMAR16,1,1,1,1,1,1,1,20160104,20160315
//SSJAN16WKND,0,0,0,0,1,1,1,20160104,20160315
//SSJAN16WKDY,1,1,1,1,0,0,1,20160104,20160315
//SSJAN16MOFR,1,1,1,1,1,0,0,20160104,20160315
//SSWINTER15,1,1,1,1,1,1,1,20151014,20160103
//SSSUMMER,1,1,1,1,1,1,1,20150617,20150908
//SSSEPOCT,1,1,1,1,1,1,1,20150909,20151014
//ISLANDMTWT,1,1,1,1,0,0,0,20150522,20150611
//ISLANDFRI,0,0,0,0,1,0,0,20150522,20150611
//ISLANDWKND,0,0,0,0,0,1,1,20150522,20150611
//ISLSMRDAILY,1,1,1,1,1,1,1,20150612,20150913
//ISLSMRFRIDAY,0,0,0,0,1,0,0,20150612,20150913
//ISLSMRSUNDAY,0,0,0,0,0,0,1,20150612,20150913
//ISLFALLMTWT,1,1,1,1,0,0,0,20150914,20151012
//ISLFALLFRI,0,0,0,0,1,0,0,20150914,20151012
//ISLFALLWKND,0,0,0,0,0,1,1,20150914,20151012
//HYLSPRING1,1,1,1,1,1,1,1,20150502,20150522
//HYLSPRING2,1,1,1,1,1,1,1,20150523,20150626
//HYLSPRING1_2,1,1,1,1,1,1,1,20150502,20150626
//HYLSPRING3,1,1,1,1,1,1,1,20150620,20150626
//HYLSUMMER,1,1,1,1,1,1,1,20150627,20150906
//HYLSEPT,1,1,1,1,1,1,1,20150907,20151011
//HYLOCT,1,1,1,1,1,1,1,20151012,20151025
//HYTRADSPRG,1,1,1,1,1,1,1,20150523,20150626
//HYTRADSUMM,1,1,1,1,1,1,1,20150627,20150906
//HYTRADFALL,1,1,1,1,1,1,1,20150907,20151018
//RIFFYELLOW,0,0,0,0,0,0,0,20150522,20151012
//RIFFGOLD,0,0,0,0,0,0,0,20150522,20151012
//RIFFGREEN,0,0,0,0,0,0,0,20150522,20151012
//RIFFBLUE,0,0,0,0,0,0,0,20150522,20151012
//RIFFPINK,0,0,0,0,0,0,0,20150522,20151012
//RIFFTEAL,0,0,0,0,0,0,0,20150522,20151012
//STRKDAILY,1,1,1,1,1,1,1,20150520,20151014
//STRKHIGH,1,1,1,1,1,1,1,20150520,20150907
//STRKEVESPRING,0,0,0,1,1,1,1,20150520,20150624
//STRKEVESUMMER,1,1,1,1,1,1,1,20150625,20150906
//STRKEVEFALL,0,0,0,1,1,1,1,20150907,20151012
//STRKFRIDAY,0,0,0,0,1,0,0,20150626,20150911
