service_id,date,exception_type
ISLANDWKND,20150525,1
ISLANDMTWT,20150525,2

RIFFYELLOW,20150525,1
RIFFYELLOW,20150626,1
RIFFYELLOW,20150628,1
RIFFYELLOW,20150701,1
RIFFYELLOW,20150702,1
RIFFYELLOW,20150705,1
RIFFYELLOW,20150706,1
RIFFYELLOW,20150709,1
RIFFYELLOW,20150710,1
RIFFYELLOW,20150711,1
RIFFYELLOW,20150712,1
RIFFYELLOW,20150716,1
RIFFYELLOW,20150717,1
RIFFYELLOW,20150718,1
RIFFYELLOW,20150719,1
RIFFYELLOW,20150723,1
RIFFYELLOW,20150724,1
RIFFYELLOW,20150725,1
RIFFYELLOW,20150726,1
RIFFYELLOW,20150730,1
RIFFYELLOW,20150731,1
RIFFYELLOW,20150801,1
RIFFYELLOW,20150802,1
RIFFYELLOW,20150806,1
RIFFYELLOW,20150807,1
RIFFYELLOW,20150808,1
RIFFYELLOW,20150809,1
RIFFYELLOW,20150810,1
RIFFYELLOW,20150813,1
RIFFYELLOW,20150814,1
RIFFYELLOW,20150815,1
RIFFYELLOW,20150816,1
RIFFYELLOW,20150820,1
RIFFYELLOW,20150821,1
RIFFYELLOW,20150822,1
RIFFYELLOW,20150823,1
RIFFYELLOW,20150827,1
RIFFYELLOW,20150828,1
RIFFYELLOW,20150829,1
RIFFYELLOW,20150830,1
RIFFYELLOW,20150906,1
RIFFYELLOW,20150907,1
RIFFYELLOW,20151009,1

RIFFGOLD,20150524,1
RIFFGOLD,20150526,1
RIFFGOLD,20150606,1
RIFFGOLD,20150607,1
RIFFGOLD,20150611,1
RIFFGOLD,20150613,1
RIFFGOLD,20150614,1
RIFFGOLD,20150615,1
RIFFGOLD,20150617,1
RIFFGOLD,20150618,1
RIFFGOLD,20150620,1
RIFFGOLD,20150621,1
RIFFGOLD,20150908,1
RIFFGOLD,20150909,1
RIFFGOLD,20150910,1
RIFFGOLD,20150912,1
RIFFGOLD,20150913,1
RIFFGOLD,20150914,1
RIFFGOLD,20150917,1
RIFFGOLD,20150919,1
RIFFGOLD,20150920,1
RIFFGOLD,20150921,1
RIFFGOLD,20150924,1
RIFFGOLD,20150926,1
RIFFGOLD,20150927,1
RIFFGOLD,20151010,1
RIFFGOLD,20151011,1
RIFFGOLD,20151012,1

RIFFGREEN,20150522,1
RIFFGREEN,20150703,1
RIFFGREEN,20150904,1

RIFFBLUE,20150622,1
RIFFBLUE,20150623,1
RIFFBLUE,20150624,1
RIFFBLUE,20150625,1
RIFFBLUE,20150627,1
RIFFBLUE,20150629,1
RIFFBLUE,20150630,1
RIFFBLUE,20150707,1
RIFFBLUE,20150708,1
RIFFBLUE,20150713,1
RIFFBLUE,20150714,1
RIFFBLUE,20150715,1
RIFFBLUE,20150720,1
RIFFBLUE,20150721,1
RIFFBLUE,20150722,1
RIFFBLUE,20150727,1
RIFFBLUE,20150728,1
RIFFBLUE,20150729,1
RIFFBLUE,20150803,1
RIFFBLUE,20150804,1
RIFFBLUE,20150805,1
RIFFBLUE,20150811,1
RIFFBLUE,20150812,1
RIFFBLUE,20150817,1
RIFFBLUE,20150818,1
RIFFBLUE,20150819,1
RIFFBLUE,20150824,1
RIFFBLUE,20150825,1
RIFFBLUE,20150826,1
RIFFBLUE,20150831,1
RIFFBLUE,20150901,1
RIFFBLUE,20150902,1
RIFFBLUE,20150903,1

RIFFPINK,20150605,1
RIFFPINK,20150612,1
RIFFPINK,20150619,1
RIFFPINK,20150911,1
RIFFPINK,20150918,1
RIFFPINK,20150925,1

RIFFTEAL,20150523,1
RIFFTEAL,20150704,1
RIFFTEAL,20150905,1
