route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
VINEYBOAT,SSADAILY,VHWHSSA01,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA02,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA03,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA04,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA05,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA06,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA07,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA08,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA09,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA10,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA11,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA12,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSAPEAK,VHWHSSA13,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,VHWHSSA14,Woods Hole, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA01,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA02,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA03,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA04,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA05,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA06,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA07,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA08,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA09,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA10,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA11,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA12,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSADAILY,WHVHSSA13,Vineyard Haven, , ,SH_WH_VH
VINEYBOAT,SSAPEAK,WHVHSSA14,Vineyard Haven, , ,SH_WH_VH
HYANNISOBHS,HYLSPRING1_2,HYOBHYL01,Oak Bluffs, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING1,HYOBHYL02,Oak Bluffs, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING1_2,OBHYHYL01,Hyannis, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING1,OBHYHYL02,Hyannis, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING2,HYOBHYL03,Oak Bluffs, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING2,HYOBHYL04,Oak Bluffs, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING2,HYOBHYL05,Oak Bluffs, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING2,OBHYHYL03,Oak Bluffs, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING2,OBHYHYL04,Oak Bluffs, , ,SH_HY_OB
HYANNISOBHS,HYLSPRING2,OBHYHYL05,Oak Bluffs, , ,SH_HY_OB
ISLANDBOAT,ISLANDMTWT,ISMTWT01,Oak Bluffs, , ,SH_FAL_OB
ISLANDBOAT,ISLANDMTWT,ISMTWT02,Oak Bluffs, , ,SH_FAL_OB
ISLANDBOAT,ISLANDMTWT,ISMTWT03,Falmouth, , ,SH_FAL_OB
ISLANDBOAT,ISLANDMTWT,ISMTWT04,Falmouth, , ,SH_FAL_OB
ISLANDBOAT,ISLANDFRI,ISFRIDAY01,Oak Bluffs, , ,SH_FAL_OB
ISLANDBOAT,ISLANDFRI,ISFRIDAY02,Oak Bluffs, , ,SH_FAL_OB
ISLANDBOAT,ISLANDFRI,ISFRIDAY03,Oak Bluffs, , ,SH_FAL_OB
