routeId,serviceId,inOutLoop,nTrips,headSign,shapeId,idPrefix,idSuffix
1VTA,PRESEASON,IN,36,Vineyard Haven,1INVTA,1PRE,VTA
1VTA,SHLDRWKND,IN,1,Vineyard Haven,1INVTA,1SHLDR,VTA
1VTA,SHLDRWKNDLATE,IN,1,Vineyard Haven,1INVTA,1SHLDRLATE,VTA
1VTA,PRESEASON,OUT,35,Edgartown,1OUTVTA,1PRE,VTA
1VTA,SHLDRWKND,OUT,1,Edgartown,1OUTVtA,1SHLDR,VTA
1VTA,SHLDRWKNDLATE,OUT,1,Edgartown,1OUTVtA,1SHLDR,VTA
2VTA,SUMMERVTA,IN,8,Vineyard Haven,2INVTA,02SUMR,VTA
2VTA,SUMMERVTA,OUT,9,West Tisbury,2OUTVTA,02SUMR,VTA
3VTA,SUMMERVTA,IN,14,Vineyard Haven,3INVTA,03SUMR,VTA
3VTA,SHLDRWKND,IN,3,Vineyard Haven,3INVTA,03SHLDR,VTA
3VTA,SUMMERVTA,OUT,14,West Tisbury,3OUTVTA,03SUMR,VTA
3VTA,SHLDRWKND,OUT,3,West Tisbury,3OUTVTA,03SHLDR,VTA
4VTA,SUMMERVTA,IN,12,West Tisbury,4INVTA,04SUMR,VTA
4VTA,SHLDRWKND,IN,3,West Tisbury,4INVTA,04SHLDR,VTA
4VTA,SHLDRWKNDLATE,IN,1,West Tisbury,4INVTA,04SHLDRLATE,VTA
4VTA,SUMMERVTA,OUT,12,Chilmark,4OUTVTA,04SUMR,VTA
4VTA,SHLDRWKND,OUT,3,Chilmark,4OUTVTA,04SHLDR,VTA
5VTA,SUMMERVTA,IN,14,Aquinnah,5INVTA,05SUMR,VTA
5VTA,SHLDRWKND,IN,4,Aquinnah,5INVTA,05PEAKDLY,VTA
5VTA,SUMMERVTA,OUT,14,West Tisbury,5OUTVTA,05SUMR,VTA
5VTA,SHLDRWKND,OUT,4,West Tisbury,5OUTVTA,05POSTPEAK,VTA
6VTA,SUMMERVTA,IN,15,Edgartown,6INVTA,06SUMR,VTA
6VTA,SHLDRWKND,IN,2,Edgartown,6INVTA,06SHLDR,VTA
6VTA,SUMMERVTA,OUT,16,West Tisbury,6OUTVTA,06SUMR,VTA
6VTA,SHLDRWKND,OUT,2,West Tisbury,6OUTVTA,06SHLDR,VTA
7VTA,SUMMERVTA,IN,13,Oak Bluffs,7INVTA,07SUMR,VTA
7VTA,SHLDRWKND,IN,4,Oak Bluffs,7INVTA,07SHLDR,VTA
7VTA,SUMMERVTA,OUT,13,Airport,7OUTVTA,07SUMR,VTA
7VTA,SHLDRWKND,OUT,4,Airport,7OUTVTA,07SHLDR,VTA
8VTA,SUMMERVTA,LOOP,12,,8VTA,08SUMR,VTA
8VTA,BEACH1,LOOP,11,,8VTA,08BEACH1,VTA
9VTA,SUMMERVTA,IN,14,Oak Bluffs,9INVTA,09SUMR,VTA
9VTA,SHLDRWKND,IN,4,Oak Bluffs,9INVTA,09SHLDR,VTA
9VTA,SUMMERVTA,OUT,14,Airport,9OUTVTA,09SUMR,VTA
9VTA,SHLDRWKND,OUT,4,Airport,9OUTVTA,09SHLDR,VTA
10VTA,SUMMERVTA,LOOP,61,,10VTA,10SUMR,VTA
10AVTA,SUMMERVTA,LOOP,9,,10AVTA,10ASUMR,VTA
13VTA,PRESEASON,IN,32,Vineyard Haven,13INVTA,13PRE,VTA
13VTA,SHLDRWKND,IN,2,Vineyard Haven,13INVTA,13SHLDR,VTA
13VTA,SHLDRWKNDLATE,IN,1,Vineyard Haven,13INVTA,13SHLDRLATE,VTA
13VTA,PRESEASON,OUT,32,Edgartown,13OUTVTA,13PRE,VTA
13VTA,SHLDRWKND,OUT,2,Edgartown,13OUTVTA,13SHLDR,VTA
13VTA,SHLDRWKNDLATE,OUT,1,Edgartown,13OUTVTA,13SHLDRLATE,VTA
