routeId,serviceId,inOutLoop,nTrips,headSign,shapeId,idPrefix,idSuffix
//12ITVTA,JULYAUG,LOOP,15,,SH_12IT,12IT,
//12SSVTA,JULYAUG,OUT,10,,SH_12SS,12SS,
//12SSVTA,JULYONLY,OUT,1,,SH_12SS,12SSJUL,
//12SSVTA,JULYAUG,IN,9,,SH_12SS,12SS,
//12SSVTA,JULYONLY,IN,1,,SH_12SS,12SSJUL,
//1VTA,HIGHSEASON,IN,46,Vineyard Haven,1INVTA,1HIGH,VTA
//1VTA,HIGHSEASON,OUT,45,Edgartown,1OUTVTA,1HIGH,VTA
//13VTA,HIGHSEASON,IN,53,Vineyard Haven,13INVTA,13VTA,VTA
//13VTA,HIGHSEASON,OUT,54,Edgartown,13OUTVTA,13VTA,VTA
//8VTA,BEACH2,LOOP,16,,8VTA,08BEACH2,VTA
//1VTA,LATESUMM,IN,38,Vineyard Haven,1INVTA,1LS,VTA
//1VTA,LATESUMM,OUT,37,Vineyard Haven,1OUTVTA,1LS,VTA
//8VTA,LATESUM,LOOP,12,,8VTA,08LS,VTA
//  13LS_OUT_35VTA
//13VTA,LATESUMM,IN,35,Vineyard Haven,13INVTA,13LS,VTA
13VTA,LATESUMM,OUT,35,Edgartown,13OUTVTA,13LS,VTA
