service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SUBOAT,1,1,1,1,1,1,1,20090624,20090909
FABOAT,1,1,1,1,1,1,1,20090910,20091012
FASTSUBOAT,1,1,1,1,1,1,1,20090519,20091012
FASTFABOAT,1,1,1,1,1,1,1,20091013,20091229
FRFABOAT,0,0,0,0,1,0,0,20090910,20091012
WEFABOAT,1,1,1,1,1,0,0,20090910,20091012
ENDFABOAT,0,0,0,0,0,1,1,20090910,20091012
DAFABOAT,1,1,1,1,1,1,1,20090910,20091012
FRSUBOAT,0,0,0,0,1,0,0,20090624,20090909
LONGWESUBOAT,0,0,0,1,1,1,1,20090624,20090909
DASUBOAT,1,1,1,1,1,1,1,20090624,20090909
ENDSUBOAT,0,0,0,0,0,1,1,20090624,20090909
WESUBOAT,1,1,1,1,1,0,0,20090624,20090909
ISLANDDASUBOAT,1,1,1,1,1,1,1,20090619,20090913
ISLANDSUSUBOAT,0,0,0,0,0,0,1,20090619,20090913
ISLANDFRSUBOAT,0,0,0,0,1,0,0,20090619,20090913
ISLANDWEFABOAT,1,1,1,1,0,0,0,20090914,20091012
ISLANDFRFABOAT,0,0,0,0,1,0,0,20090914,20091012
ISLANDENDFABOAT,0,0,0,0,0,1,1,20090914,20091012
ISLANDDAFABOAT,1,1,1,1,1,1,1,20090914,20091012
CUTTYDASUBOAT,1,1,1,1,1,1,1,20090720,20090907
CUTTYWESASUBOAT,1,1,1,1,1,1,0,20090720,20090907
CUTTYFRSUBOAT,0,0,0,0,1,0,0,20090720,20090907
CUTTYSASUBOAT,0,0,0,0,0,1,0,20090720,20090907
CUTTYSUSUBOAT,0,0,0,0,0,0,1,20090720,20090907
CUTTYDAFA1BOAT,1,1,1,1,1,1,1,20090908,20090927
CUTTYFRFA1BOAT,0,0,0,0,1,0,0,20090908,20090927
CUTTYFRFA2BOAT,0,0,0,0,1,0,0,20090928,20091009
CUTTYSUMOFRSAFA2BOAT,1,0,0,0,1,1,1,20090928,20091018
CUTTYWINBOAT,1,0,0,0,1,0,0,20091019,20100416
LABORBOAT,1,0,0,0,0,0,0,20090906,20090908
GENOCBOAT,1,0,0,0,0,0,0,20091011,20091013
HYDASUBOAT,1,1,1,1,1,1,1,20090519,20091012
HYFRFABOAT,0,0,0,0,1,0,0,20090911,20091012
HYDASU1BOAT,1,1,1,1,1,1,1,20090519,20090910
HYDAFABOAT,1,1,1,1,1,1,1,20091013,20091231
HYVINEYARDDASUBOAT,1,1,1,1,1,1,1,20090620,20090907
HYVINEYARDDAFABOAT,1,1,1,1,1,1,1,20090908,20091018
HYISLANDDASUBOAT,1,1,1,1,1,1,1,20090704,20090906
HYISLANDDAFABOAT,1,1,1,1,1,1,1,20090907,20090912
FALMOMOSASUBOAT,1,1,1,1,1,1,0,20090619,20090901
FALMOFRSUBOAT,0,0,0,0,1,0,0,20090619,20090901
FALMOSUSUBOAT,0,0,0,0,0,0,1,20090619,20090901
FALMOFRFABOAT,0,0,0,0,1,0,0,20090902,20090912
FALMOSAFABOAT,0,0,0,0,0,1,0,20090902,20090912
FALMOSUFABOAT,0,0,0,0,0,0,1,20090902,20090912
FREEDSUBOAT,1,1,1,1,1,1,1,20090630,20090829
FREEDFABOAT,1,1,1,1,1,1,1,20090830,20090926
WEBOAT,1,1,1,1,1,0,0,20090101,20101231
SABOAT,0,0,0,0,0,1,0,20090101,20101231
SASUBOAT,0,0,0,0,0,1,1,20090101,20101231
SALEMWESUBOAT,1,1,1,1,1,0,0,20090630,20090907
SALEMENDSUBOAT,0,0,0,0,0,1,1,20090630,20090907
SALEMFRSASUBOAT,0,0,0,0,1,1,0,20090630,20090907
SALEMDASUBOAT,1,1,1,1,1,1,1,20090630,20090907
SALEMWEFABOAT,1,1,1,1,1,0,0,20090908,20091101
SALEMFRSAFABOAT,0,0,0,0,1,1,0,20090908,20091101
SALEMDAFABOAT,1,1,1,1,1,1,1,20090908,20091101
SALEMENDFABOAT,0,0,0,0,0,1,1,20090908,20091101
BAYST1BOAT,1,1,1,1,1,1,1,20090515,20091013
BAYST2BOAT,0,0,0,0,0,1,0,20090627,20090905
HARBOMOWESUBOAT,1,1,1,0,0,0,0,20090613,20090906
HARBOTHSUSUBOAT,0,0,0,1,1,1,1,20090613,20090906
HARBOLABORBOAT,1,0,0,0,0,0,0,20090906,20090908
HARBOMOFABOAT,1,0,0,0,0,0,0,20090908,20090927
HARBOTUTHFABOAT,0,1,1,1,0,0,0,20090908,20090927
HARBOFRFABOAT,0,0,0,0,1,0,0,20090908,20090927
HARBOENDFABOAT,0,0,0,0,0,1,1,20090908,20090927
HARBOFA2BOAT,1,1,1,1,1,1,1,20090928,20091004
HARBOFA3BOAT,1,1,1,1,1,1,1,20091010,20091011
CHAPPSUMBOAT,1,1,1,1,1,1,1,20090701,20091014
CHAPPWINBOAT,1,1,1,1,1,1,1,20091015,20100530
LONGFALBOAT,1,1,1,1,1,1,1,20090908,20091012
LONGGWESUBOAT,1,1,1,1,0,0,0,20090701,20090907
LONGENDSUBOAT,0,0,0,0,1,1,1,20090701,20090907
BUMPKBOAT,1,1,1,1,1,1,1,20090620,20090907
THOMPBOAT,0,0,0,0,0,0,1,20090701,20090906
NEFASTSUBOAT,0,0,0,0,0,0,1,20090701,20090907
NEFASTFRBOAT,0,0,0,0,1,0,0,20090701,20090907
QUONSWESUBOAT,1,1,1,0,0,0,0,20090707,20090907
QUONSFRSUBOAT,0,0,0,0,1,0,0,20090707,20090907
QUONSENDSUBOAT,0,0,0,1,0,1,1,20090707,20090907
QUONSWEFABOAT,1,1,1,0,0,0,0,20090908,20090928
QUONSTHFABOAT,0,0,0,1,0,0,0,20090908,20090928
QUONSFRFABOAT,0,0,0,0,1,0,0,20090908,20090928
QUONSENDFABOAT,0,0,0,0,0,1,1,20090908,20090928
QUONSTHOCBOAT,0,0,0,1,0,0,0,20091001,20091012
QUONSFROCBOAT,0,0,0,0,1,0,0,20091001,20091012
QUONSENDOCBOAT,0,0,0,0,0,1,1,20091001,20091012
QUONSLABORBOAT,1,0,0,0,0,0,0,20090907,20090907
PLYMO,1,1,1,1,1,1,1,20090620,20090907
