route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
VINEYBOAT,SSA, ,Woods Hole-Vineyard Haven, Reservations required.,4,http://www.steamshipauthority.com/ssa/mv.cfm, , 
OAKBOAT,SSA, ,Woods Hole-Oak Bluffs, Reservations required.,4,http://www.steamshipauthority.com/ssa/mv.cfm, , 
HYANBOAT,SSA, ,Hyannis-Nantucket, Reservations required.,4,http://www.steamshipauthority.com/ssa/nt.cfm, , 
HYANFBOAT,SSA, ,Hyannis-Nantucket Fast Ferry, Reservations required.,4,http://www.steamshipauthority.com/ssa/documents/Iyanough0416to12292009.pdf, , 
NEWBEVINEYBOAT,NEFAST, ,New Bedford-Vineyard Haven,Reservations suggested.,4,http://www.nefastferry.com/schedule.html, , 
NEWBEBLUFFBOAT,NEFAST, ,New Bedford-Oak Bluffs,Reservations suggested.,4,http://www.nefastferry.com/schedule.html, , 
ISLANDBOAT,ISLAND, ,Island Queen,Falmouth-Oak Bluffs.,4,http://www.islandqueen.com, , 
CUTTYBOAT,CUTTY, ,Cuttyhunk-New Bedford, Reservations required.,4,http://www.cuttyhunkferryco.com/, , 
HY1BOAT,HYLIN, ,Nantucket-Hyannis Fast Ferry,Contact agency to confirm schedules for holidays and during Christmas Stroll (12/04-12/06). Reservations recommended.,4,http://www.hy-linecruises.com/nan/high-speed.html, , 
HY2BOAT,HYLIN, ,Hyannis-Oak Bluffs, Reservations recommended.,4,http://www.hy-linecruises.com/mv/seasonal.html, , 
HY3BOAT,HYLIN, ,Visit Both Islands: Hyannis-Nantucket-Oak Bluffs,NOTE: Riders must pay full fare for two-island tour. Reservations recommended.,4,http://www.hy-linecruises.com/nan/islands.html, , 
HY4BOAT,HYLIN, ,Inter-Island: Oak Bluffs-Nantucket,Reservations recommended.,4,http://www.hy-linecruises.com/nan/inter-islands.html, , 
FALMOBOAT,FALMO, ,Falmouth Ferry,Falmouth-Edgartown. Reservations recommended.,4,http://www.falmouthferry.com/Falmouth_Ferry/Schedules.html, , 
FREEDBOAT,HARWI, ,Harwich-Nantucket,Reservations recommended.,4,http://www.nantucketislandferry.com/schedule.shtml, , 
SALEMBOAT,SAL, ,Salem-Boston,No reservation required.,4,http://www.salemferry.com/, , 
PROV1BOAT,BAYST, ,Bay State Cruise Co. Provincetown Ferry,Reservations suggested.,4,http://www.baystatecruisecompany.com/schedule.html, , 
PROV2BOAT,HARBO, ,BHC Provincetown Ferry,Reservations suggested.,4,http://www.bostonharborcruises.com/provincetown-ferry/schedule-rates.aspx, , 
CHAPPBOAT,CHAPP, ,Chappy Ferry,"Runs high-frequency throughout the day, 365 days per year (weather permitting). ",4,http://www.chappyferry.net, , 
LONGBOAT,HARBOI, ,Long Wharf-Spectacle/Georges, ,4,http://www.bostonislands.org/boatschedule.pdf, , 
BUMPKBOAT,HARBOI, ,"Bumpkin, Georges, Grape, Lovells, Peddocks& South Shore Connector", ,4,http://www.bostonislands.org/boatschedule.pdf, , 
CONNEBOAT,HARBOI, ,Spectacle & Georges Connector, ,4,http://www.bostonislands.org/boatschedule.pdf, , 
THOMPBOAT,HARBOI, ,Thompson Island Ferry, ,4,http://www.bostonislands.org/trip_3d_edic.html, , 
NEWYOBOAT,NEFAST, ,New York-Martha's Vineyard,Reservations required.,4,http://nefastferry.com/NYC-MVIN.html, , 
VINEYFBOAT,VINEY, ,Vineyard Fast Ferry,Reservations recommended.,4,http://www.vineyardfastferry.com, , 
PLYMOPROVIBOAT,PLYMOPROVIBOAT, ,Provincetown Ferry,Reservations strongly recommended.,4,http://www.provincetownferry.com/, , 
