trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
VINEYINSUBOAT,6:00:00,6:00:00,VINEYBOAT,1, , , , 
VINEYINSUBOAT,6:45:00,6:45:00,WOODSBOAT,2, , , , 
VINEYOUTSUBOAT,6:00:00,6:00:00,WOODSBOAT,1, , , , 
VINEYOUTSUBOAT,6:45:00,6:45:00,VINEYBOAT,2, , , , 
BLUFFINSUBOAT,6:00:00,6:00:00,OAK2BOAT,1, , , , 
BLUFFINSUBOAT,6:45:00,6:45:00,WOODSBOAT,2, , , , 
BLUFFOUTSUBOAT,6:00:00,6:00:00,WOODSBOAT,1, , , , 
BLUFFOUTSUBOAT,6:45:00,6:45:00,OAK2BOAT,2, , , , 
VINEYINFABOAT,6:00:00,6:00:00,VINEYBOAT,1, , , , 
VINEYINFABOAT,6:45:00,6:45:00,WOODSBOAT,2, , , , 
VINEYOUTFABOAT,6:00:00,6:00:00,WOODSBOAT,1, , , , 
VINEYOUTFABOAT,6:45:00,6:45:00,VINEYBOAT,2, , , , 
BLUFFINFABOAT,6:00:00,6:00:00,OAK2BOAT,1, , , , 
BLUFFINFABOAT,6:45:00,6:45:00,WOODSBOAT,2, , , , 
BLUFFOUTFABOAT,6:00:00,6:00:00,WOODSBOAT,1, , , , 
BLUFFOUTFABOAT,6:45:00,6:45:00,OAK2BOAT,2, , , , 
HYANINSUBOAT,7:30:00,7:30:00,NANTUBOAT,1, , , , 
HYANINSUBOAT,9:45:00,9:45:00,HYANIBOAT,2, , , , 
HYANOUTSUBOAT,7:30:00,7:30:00,HYANIBOAT,1, , , , 
HYANOUTSUBOAT,9:45:00,9:45:00,NANTUBOAT,2, , , , 
HYANINFABOAT,7:30:00,7:30:00,NANTUBOAT,1, , , , 
HYANINFABOAT,9:45:00,9:45:00,HYANIBOAT,2, , , , 
HYANOUTFABOAT,7:30:00,7:30:00,HYANIBOAT,1, , , , 
HYANOUTFABOAT,9:45:00,9:45:00,NANTUBOAT,2, , , , 
HYANFINSUBOAT,8:00:00,8:00:00,NANTUBOAT,1, , , , 
HYANFINSUBOAT,9:00:00,9:00:00,HYANIBOAT,2, , , , 
HYANFOUTSUBOAT,8:00:00,8:00:00,HYANIBOAT,1, , , , 
HYANFOUTSUBOAT,9:00:00,9:00:00,NANTUBOAT,2, , , , 
HYANFINFABOAT,8:00:00,8:00:00,NANTUBOAT,1, , , , 
HYANFINFABOAT,9:00:00,9:00:00,HYANIBOAT,2, , , , 
HYANFOUTFABOAT,8:00:00,8:00:00,HYANIBOAT,1, , , , 
HYANFOUTFABOAT,9:00:00,9:00:00,NANTUBOAT,2, , , , 
1NEBOAT,6:30:00,6:30:00,NEWBEBOAT,1, , , , 
1NEBOAT,7:30:00,7:30:00,VINEYBOAT,2, , , , 
2NEBOAT,8:00:00,8:00:00,NEWBEBOAT,1, , , , 
2NEBOAT,9:00:00,9:00:00,OAKSSABOAT,2, , , , 
3NEBOAT,9:30:00,9:30:00,NEWBEBOAT,1, , , , 
3NEBOAT,10:30:00,10:30:00,OAKSSABOAT,2, , , , 
4NEBOAT,10:35:00,10:35:00,NEWBEBOAT,1, , , , 
4NEBOAT,11:35:00,11:35:00,VINEYBOAT,2, , , , 
5NEBOAT,12:30:00,12:30:00,NEWBEBOAT,1, , , , 
5NEBOAT,13:30:00,13:30:00,OAKSSABOAT,2, , , , 
6NEBOAT,15:45:00,15:45:00,NEWBEBOAT,1, , , , 
6NEBOAT,16:45:00,16:45:00,VINEYBOAT,2, , , , 
7NEBOAT,16:30:00,16:30:00,NEWBEBOAT,1, , , , 
7NEBOAT,17:30:00,17:30:00,OAKSSABOAT,2, , , , 
8NEBOAT,18:30:00,18:30:00,NEWBEBOAT,1, , , , 
8NEBOAT,19:25:00,19:25:00,OAKSSABOAT,2, , , , 
9NEBOAT,21:30:00,21:30:00,NEWBEBOAT,1, , , , 
9NEBOAT,22:25:00,22:25:00,VINEYBOAT,2, , , , 
10NEBOAT,7:40:00,7:40:00,VINEYBOAT,1, , , , 
10NEBOAT,8:40:00,8:40:00,NEWBEBOAT,2, , , , 
11NEBOAT,9:15:00,9:15:00,OAKSSABOAT,1, , , , 
11NEBOAT,10:15:00,10:15:00,NEWBEBOAT,2, , , , 
12NEBOAT,10:50:00,10:50:00,OAKSSABOAT,1, , , , 
12NEBOAT,11:50:00,11:50:00,NEWBEBOAT,2, , , , 
13NEBOAT,11:45:00,11:45:00,VINEYBOAT,1, , , , 
13NEBOAT,12:45:00,12:45:00,NEWBEBOAT,2, , , , 
14NEBOAT,14:00:00,14:00:00,OAKSSABOAT,1, , , , 
14NEBOAT,15:00:00,15:00:00,NEWBEBOAT,2, , , , 
15NEBOAT,17:15:00,17:15:00,VINEYBOAT,1, , , , 
15NEBOAT,18:15:00,18:15:00,NEWBEBOAT,2, , , , 
16NEBOAT,17:50:00,17:50:00,OAKSSABOAT,1, , , , 
16NEBOAT,18:50:00,18:50:00,NEWBEBOAT,2, , , , 
17NEBOAT,20:00:00,20:00:00,OAKSSABOAT,1, , , , 
17NEBOAT,21:00:00,21:00:00,NEWBEBOAT,2, , , , 
18NEBOAT,22:35:00,22:35:00,VINEYBOAT,1, , , , 
18NEBOAT,23:35:00,23:35:00,NEWBEBOAT,2, , , , 
19NEBOAT,6:30:00,6:30:00,NEWBEBOAT,1, , , , 
19NEBOAT,7:30:00,7:30:00,VINEYBOAT,2, , , , 
20NEBOAT,9:30:00,9:30:00,NEWBEBOAT,1, , , , 
20NEBOAT,10:30:00,10:30:00,OAKSSABOAT,2, , , , 
21NEBOAT,12:30:00,12:30:00,NEWBEBOAT,1, , , , 
21NEBOAT,13:30:00,13:30:00,OAKSSABOAT,2, , , , 
22NEBOAT,15:45:00,15:45:00,NEWBEBOAT,1, , , , 
22NEBOAT,16:45:00,16:45:00,VINEYBOAT,2, , , , 
23NEBOAT,18:30:00,18:30:00,NEWBEBOAT,1, , , , 
23NEBOAT,19:30:00,19:30:00,OAKSSABOAT,2, , , , 
24NEBOAT,21:30:00,21:30:00,NEWBEBOAT,1, , , , 
24NEBOAT,22:25:00,22:25:00,VINEYBOAT,2, , , , 
25NEBOAT,7:40:00,7:40:00,VINEYBOAT,1, , , , 
25NEBOAT,8:40:00,8:40:00,NEWBEBOAT,2, , , , 
26NEBOAT,10:50:00,10:50:00,OAKSSABOAT,1, , , , 
26NEBOAT,11:50:00,11:50:00,NEWBEBOAT,2, , , , 
27NEBOAT,14:00:00,14:00:00,OAKSSABOAT,1, , , , 
27NEBOAT,15:00:00,15:00:00,NEWBEBOAT,2, , , , 
28NEBOAT,17:15:00,17:15:00,VINEYBOAT,1, , , , 
28NEBOAT,18:15:00,18:15:00,NEWBEBOAT,2, , , , 
29NEBOAT,20:00:00,20:00:00,OAKSSABOAT,1, , , , 
29NEBOAT,21:00:00,21:00:00,NEWBEBOAT,2, , , , 
30NEBOAT,22:35:00,22:35:00,VINEYBOAT,1, , , , 
30NEBOAT,23:35:00,23:35:00,NEWBEBOAT,2, , , , 
1ISLANDBOAT,9:00:00,9:00:00,FALMOBOAT,1, , , , 
1ISLANDBOAT,9:35:00,9:35:00,OAK2BOAT,2, , , , 
2ISLANDBOAT,10:30:00,10:30:00,FALMOBOAT,1, , , , 
2ISLANDBOAT,11:05:00,11:05:00,OAK2BOAT,2, , , , 
3ISLANDBOAT,12:00:00,12:00:00,FALMOBOAT,1, , , , 
3ISLANDBOAT,12:35:00,12:35:00,OAK2BOAT,2, , , , 
4ISLANDBOAT,13:30:00,13:30:00,FALMOBOAT,1, , , , 
4ISLANDBOAT,14:05:00,14:05:00,OAK2BOAT,2, , , , 
5ISLANDBOAT,15:00:00,15:00:00,FALMOBOAT,1, , , , 
5ISLANDBOAT,15:35:00,15:35:00,OAK2BOAT,2, , , , 
6ISLANDBOAT,16:30:00,16:30:00,FALMOBOAT,1, , , , 
6ISLANDBOAT,17:05:00,17:05:00,OAK2BOAT,2, , , , 
7ISLANDBOAT,18:00:00,18:00:00,FALMOBOAT,1, , , , 
7ISLANDBOAT,18:35:00,18:35:00,OAK2BOAT,2, , , , 
8ISLANDBOAT,19:30:00,19:30:00,FALMOBOAT,1, , , , 
8ISLANDBOAT,20:05:00,20:05:00,OAK2BOAT,2, , , , 
9ISLANDBOAT,20:30:00,20:30:00,FALMOBOAT,1, , , , 
9ISLANDBOAT,21:05:00,21:05:00,OAK2BOAT,2, , , , 
10ISLANDBOAT,9:35:00,9:35:00,OAK2BOAT,1, , , , 
10ISLANDBOAT,10:10:00,10:10:00,FALMOBOAT,2, , , , 
11ISLANDBOAT,11:05:00,11:05:00,OAK2BOAT,1, , , , 
