route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
VINEYBOAT,SUBOAT,VINEYINSUBOAT,Woods Hole, , , 
VINEYBOAT,SUBOAT,VINEYOUTSUBOAT,Vineyard Haven, , , 
OAKBOAT,SUBOAT,BLUFFINSUBOAT,Woods Hole, , , 
OAKBOAT,SUBOAT,BLUFFOUTSUBOAT,Oak Bluffs, , , 
VINEYBOAT,FABOAT,VINEYINFABOAT,Woods Hole, , , 
VINEYBOAT,FABOAT,VINEYOUTFABOAT,Vineyard Haven, , , 
OAKBOAT,FABOAT,BLUFFINFABOAT,Woods Hole, , , 
OAKBOAT,FABOAT,BLUFFOUTFABOAT,Oak Bluffs, , , 
HYANBOAT,SUBOAT,HYANINSUBOAT,Hyannis, , , 
HYANBOAT,SUBOAT,HYANOUTSUBOAT,Nantucket, , , 
HYANBOAT,FABOAT,HYANINFABOAT,Hyannis, , , 
HYANBOAT,FABOAT,HYANOUTFABOAT,Nantucket, , , 
HYANFBOAT,FASTSUBOAT,HYANFINSUBOAT,Hyannis, , , 
HYANFBOAT,FASTSUBOAT,HYANFOUTSUBOAT,Nantucket, , , 
HYANFBOAT,FASTFABOAT,HYANFINFABOAT,Hyannis, , , 
HYANFBOAT,FASTFABOAT,HYANFOUTFABOAT,Nantucket, , , 
NEWBEVINEYBOAT,WESUBOAT,1NEBOAT,Vineyard Haven, , , 
NEWBEBLUFFBOAT,ENDSUBOAT,2NEBOAT,Oak Bluffs, , , 
NEWBEBLUFFBOAT,DASUBOAT,3NEBOAT,Oak Bluffs, , , 
NEWBEVINEYBOAT,LONGWESUBOAT,4NEBOAT,Vineyard Haven, , , 
NEWBEBLUFFBOAT,DASUBOAT,5NEBOAT,Oak Bluffs, , , 
NEWBEVINEYBOAT,DASUBOAT,6NEBOAT,Vineyard Haven, , , 
NEWBEBLUFFBOAT,LONGWESUBOAT,7NEBOAT,Oak Bluffs, , , 
NEWBEBLUFFBOAT,DASUBOAT,8NEBOAT,Oak Bluffs, , , 
NEWBEVINEYBOAT,FRSUBOAT,9NEBOAT,Vineyard Haven, , , 
NEWBEVINEYBOAT,WESUBOAT,10NEBOAT,New Bedford, , , 
NEWBEBLUFFBOAT,ENDSUBOAT,11NEBOAT,New Bedford, , , 
NEWBEBLUFFBOAT,DASUBOAT,12NEBOAT,New Bedford, , , 
NEWBEVINEYBOAT,LONGWESUBOAT,13NEBOAT,New Bedford, , , 
NEWBEBLUFFBOAT,DASUBOAT,14NEBOAT,New Bedford, , , 
NEWBEVINEYBOAT,DASUBOAT,15NEBOAT,New Bedford, , , 
NEWBEBLUFFBOAT,LONGWESUBOAT,16NEBOAT,New Bedford, , , 
NEWBEBLUFFBOAT,DASUBOAT,17NEBOAT,New Bedford, , , 
NEWBEVINEYBOAT,FRSUBOAT,18NEBOAT,New Bedford, , , 
NEWBEVINEYBOAT,WEFABOAT,19NEBOAT,Vineyard Haven, , , 
NEWBEBLUFFBOAT,DAFABOAT,20NEBOAT,Oak Bluffs, , , 
NEWBEBLUFFBOAT,DAFABOAT,21NEBOAT,Oak Bluffs, , , 
NEWBEVINEYBOAT,DAFABOAT,22NEBOAT,Vineyard Haven, , , 
NEWBEBLUFFBOAT,DAFABOAT,23NEBOAT,Oak Bluffs, , , 
NEWBEVINEYBOAT,FRFABOAT,24NEBOAT,Vineyard Haven, , , 
NEWBEVINEYBOAT,WEFABOAT,25NEBOAT,New Bedford, , , 
NEWBEBLUFFBOAT,DAFABOAT,26NEBOAT,New Bedford, , , 
NEWBEBLUFFBOAT,DAFABOAT,27NEBOAT,New Bedford, , , 
NEWBEVINEYBOAT,DAFABOAT,28NEBOAT,New Bedford, , , 
NEWBEBLUFFBOAT,DAFABOAT,29NEBOAT,New Bedford, , , 
NEWBEVINEYBOAT,FRFABOAT,30NEBOAT,New Bedford, , , 
ISLANDBOAT,ISLANDDASUBOAT,1ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDASUBOAT,2ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDASUBOAT,3ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDASUBOAT,4ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDASUBOAT,5ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDASUBOAT,6ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDASUBOAT,7ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDSUSUBOAT,8ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDFRSUBOAT,9ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDASUBOAT,10ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDDASUBOAT,11ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDDASUBOAT,12ISLANDBOAT,Falmouth, , , 
