service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
WINTER2015,1,1,1,1,1,1,1,20151012,20160429
WINTER2015NOSUNDAYS,1,1,1,1,1,1,1,20151012,20160429
WINTER2015LIMITED,1,1,1,1,1,1,1,20151012,20160429
VTASPRING16,1,1,1,1,1,1,1,20160430,20160617
VSPRFRISAT16,0,0,0,0,1,1,1,20160430,20160617
VSPRSATSUN16,1,0,0,0,0,1,1,20160430,20160617
APROCT2016,1,1,1,1,1,1,1,20160430,20161010
SPRWKND2016,0,0,0,0,1,1,0,20160430,20160617
FALLWKND2016,0,0,0,0,1,1,0,20160905,20161009
HIGHDLY2016,1,1,1,1,1,1,1,20160618,20160904
SLATEWKND2016,0,0,0,0,0,1,1,20160430,20160617
FLATEWKND2016,0,0,0,0,0,1,1,20160905,20161009
MAYJUNE2016,1,1,1,1,1,1,1,20160430,20160617
JUNE2016,1,1,1,1,1,1,1,20160528,20160617
