shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10AVTA,41.455268,-70.601326,1
10AVTA,41.453917,-70.60126,2
10AVTA,41.453624,-70.602848,3
10AVTA,41.453568,-70.603203,4
10AVTA,41.454506,-70.602866,5
10AVTA,41.455234,-70.602865,6
10AVTA,41.456144,-70.602883,7
10AVTA,41.45823,-70.603777,8
10AVTA,41.459588,-70.603458,9
10AVTA,41.460959,-70.603091,10
10AVTA,41.462351,-70.602679,11
10AVTA,41.465108,-70.6013,12
10AVTA,41.46719,-70.600424,13
10AVTA,41.468521,-70.599842,14
10AVTA,41.468792,-70.599685,15
10AVTA,41.471059,-70.598258,16
10AVTA,41.471285,-70.598154,17
10AVTA,41.47498,-70.598004,18
10AVTA,41.476594,-70.597955,19
10AVTA,41.476947,-70.598061,20
10AVTA,41.480247,-70.599629,21
10AVTA,41.481884,-70.601649,22
10AVTA,41.481816,-70.601792,23
10AVTA,41.481778,-70.602044,24
10AVTA,41.481698,-70.602383,25
10AVTA,41.481462,-70.602708,26
10AVTA,41.481339,-70.603067,27
10AVTA,41.481194,-70.603447,28
10AVTA,41.481086,-70.603575,29
10AVTA,41.480775,-70.603739,30
10AVTA,41.480621,-70.603781,31
10AVTA,41.480497,-70.603732,32
10AVTA,41.480518,-70.604543,33
10AVTA,41.480435,-70.603711,34
10AVTA,41.479737,-70.603477,35
10AVTA,41.478888,-70.60324,36
10AVTA,41.478312,-70.603222,37
10AVTA,41.477847,-70.603607,38
10AVTA,41.476237,-70.605258,39
10AVTA,41.475906,-70.605482,40
10AVTA,41.47563,-70.605667,41
10AVTA,41.475016,-70.605736,42
10AVTA,41.469076,-70.605794,43
10AVTA,41.45945,-70.605821,44
10AVTA,41.455778,-70.605796,45
10AVTA,41.454193,-70.605781,46
10AVTA,41.454017,-70.605782,47
10AVTA,41.454073,-70.605013,48
10AVTA,41.454276,-70.603024,49
10AVTA,41.453504,-70.603259,50
10AVTA,41.453763,-70.601929,51
10AVTA,41.453889,-70.601226,52
10AVTA,41.455115,-70.601284,53
13INVTA,41.390994,-70.514637,1
13INVTA,41.390356,-70.515183,2
13INVTA,41.39088,-70.516569,3
13INVTA,41.390881,-70.517534,4
13INVTA,41.391259,-70.518769,5
13INVTA,41.391988,-70.522859,6
13INVTA,41.392278,-70.523708,7
13INVTA,41.394193,-70.526676,8
13INVTA,41.39457,-70.527332,9
13INVTA,41.394716,-70.528026,10
13INVTA,41.399442,-70.533808,11
13INVTA,41.399964,-70.534309,12
13INVTA,41.40147,-70.534654,13
13INVTA,41.406391,-70.535943,14
13INVTA,41.407144,-70.536096,15
13INVTA,41.407898,-70.53679,16
13INVTA,41.409174,-70.539104,17
13INVTA,41.411785,-70.54412,18
13INVTA,41.413083,-70.545565,19
13INVTA,41.416213,-70.548997,20
13INVTA,41.41688,-70.549768,21
13INVTA,41.416967,-70.549652,22
13INVTA,41.420328,-70.551539,23
13INVTA,41.4243,-70.553936,24
13INVTA,41.426762,-70.555091,25
13INVTA,41.427313,-70.555438,26
13INVTA,41.433048,-70.556626,27
13INVTA,41.435666,-70.557079,28
13INVTA,41.436824,-70.557155,29
13INVTA,41.437722,-70.556999,30
13INVTA,41.438475,-70.556689,31
13INVTA,41.439401,-70.555992,32
13INVTA,41.440298,-70.555334,33
13INVTA,41.441137,-70.55483,34
13INVTA,41.443309,-70.554634,35
13INVTA,41.444091,-70.554826,36
13INVTA,41.445829,-70.555055,37
13INVTA,41.446698,-70.554552,38
13INVTA,41.448889,-70.552886,39
13INVTA,41.44999,-70.553078,40
13INVTA,41.452336,-70.553692,41
13INVTA,41.454109,-70.554464,42
13INVTA,41.455791,-70.555168,43
13INVTA,41.457051,-70.55583,44
13INVTA,41.457885,-70.556252,45
13INVTA,41.457563,-70.557584,46
13INVTA,41.457374,-70.558838,47
13INVTA,41.45714,-70.559954,48
13INVTA,41.457141,-70.560972,49
13INVTA,41.4572,-70.561344,50
13INVTA,41.457923,-70.562419,51
13INVTA,41.458187,-70.562849,52
13INVTA,41.458982,-70.56647,53
13INVTA,41.459218,-70.566979,54
13INVTA,41.460452,-70.569053,55
13INVTA,41.462163,-70.571125,56
13INVTA,41.463353,-70.572534,57
13INVTA,41.465215,-70.574803,58
13INVTA,41.465483,-70.57519,59
13INVTA,41.465467,-70.575602,60
13INVTA,41.463958,-70.577077,61
13INVTA,41.46201,-70.578835,62
13INVTA,41.461795,-70.579053,63
13INVTA,41.461803,-70.579313,64
13INVTA,41.462193,-70.580411,65
13INVTA,41.462223,-70.580621,66
13INVTA,41.462223,-70.580801,67
13INVTA,41.462178,-70.580931,68
13INVTA,41.461393,-70.58198,69
13INVTA,41.460098,-70.583654,70
13INVTA,41.459956,-70.58391,71
13INVTA,41.459299,-70.58516,72
13INVTA,41.458809,-70.586213,73
13INVTA,41.458138,-70.587277,74
13INVTA,41.457641,-70.588126,75
13INVTA,41.456268,-70.591094,76
13INVTA,41.455433,-70.592907,77
13INVTA,41.455016,-70.594005,78
13INVTA,41.454637,-70.594633,79
13INVTA,41.453822,-70.595645,80
13INVTA,41.453392,-70.596378,81
13INVTA,41.452739,-70.597685,82
13INVTA,41.452622,-70.598034,83
13INVTA,41.452648,-70.598347,84
13INVTA,41.453106,-70.599113,85
13INVTA,41.453943,-70.601239,86
13INVTA,41.455254,-70.601327,87
13OUTVTA,41.455254,-70.601327,1
13OUTVTA,41.453943,-70.601239,2
13OUTVTA,41.453106,-70.599113,3
13OUTVTA,41.452648,-70.598347,4
13OUTVTA,41.452622,-70.598034,5
13OUTVTA,41.452739,-70.597685,6
13OUTVTA,41.453392,-70.596378,7
13OUTVTA,41.453822,-70.595645,8
13OUTVTA,41.454637,-70.594633,9
13OUTVTA,41.455016,-70.594005,10
13OUTVTA,41.455433,-70.592907,11
13OUTVTA,41.456268,-70.591094,12
13OUTVTA,41.457641,-70.588126,13
13OUTVTA,41.458138,-70.587277,14
13OUTVTA,41.458809,-70.586213,15
13OUTVTA,41.459299,-70.58516,16
13OUTVTA,41.459956,-70.58391,17
13OUTVTA,41.460098,-70.583654,18
13OUTVTA,41.461393,-70.58198,19
13OUTVTA,41.462178,-70.580931,20
13OUTVTA,41.462223,-70.580801,21
13OUTVTA,41.462223,-70.580621,22
13OUTVTA,41.462193,-70.580411,23
13OUTVTA,41.461803,-70.579313,24
13OUTVTA,41.461795,-70.579053,25
13OUTVTA,41.46201,-70.578835,26
13OUTVTA,41.463958,-70.577077,27
13OUTVTA,41.465467,-70.575602,28
13OUTVTA,41.465483,-70.57519,29
13OUTVTA,41.465215,-70.574803,30
13OUTVTA,41.463353,-70.572534,31
13OUTVTA,41.462163,-70.571125,32
13OUTVTA,41.460452,-70.569053,33
13OUTVTA,41.459218,-70.566979,34
13OUTVTA,41.458982,-70.56647,35
13OUTVTA,41.458187,-70.562849,36
13OUTVTA,41.457923,-70.562419,37
13OUTVTA,41.4572,-70.561344,38
13OUTVTA,41.457141,-70.560972,39
13OUTVTA,41.45714,-70.559954,40
13OUTVTA,41.457374,-70.558838,41
13OUTVTA,41.457448,-70.558217,42
13OUTVTA,41.457056,-70.556497,43
13OUTVTA,41.456803,-70.555744,44
13OUTVTA,41.455791,-70.555168,45
13OUTVTA,41.454109,-70.554464,46
13OUTVTA,41.452336,-70.553692,47
13OUTVTA,41.44999,-70.553078,48
13OUTVTA,41.448889,-70.552886,49
13OUTVTA,41.446698,-70.554552,50
13OUTVTA,41.445829,-70.555055,51
13OUTVTA,41.444091,-70.554826,52
13OUTVTA,41.443309,-70.554634,53
13OUTVTA,41.441137,-70.55483,54
13OUTVTA,41.440298,-70.555334,55
13OUTVTA,41.439401,-70.555992,56
13OUTVTA,41.438475,-70.556689,57
13OUTVTA,41.437722,-70.556999,58
13OUTVTA,41.436824,-70.557155,59
13OUTVTA,41.435666,-70.557079,60
13OUTVTA,41.433048,-70.556626,61
13OUTVTA,41.427313,-70.555438,62
13OUTVTA,41.426762,-70.555091,63
13OUTVTA,41.4243,-70.553936,64
13OUTVTA,41.420328,-70.551539,65
13OUTVTA,41.416967,-70.549652,66
13OUTVTA,41.41688,-70.549768,67
13OUTVTA,41.416213,-70.548997,68
13OUTVTA,41.413083,-70.545565,69
13OUTVTA,41.411785,-70.54412,70
13OUTVTA,41.409174,-70.539104,71
13OUTVTA,41.407898,-70.53679,72
13OUTVTA,41.407144,-70.536096,73
13OUTVTA,41.406391,-70.535943,74
13OUTVTA,41.40147,-70.534654,75
13OUTVTA,41.399964,-70.534309,76
13OUTVTA,41.399442,-70.533808,77
13OUTVTA,41.394716,-70.528026,78
13OUTVTA,41.39457,-70.527332,79
13OUTVTA,41.394193,-70.526676,80
13OUTVTA,41.392278,-70.523708,81
13OUTVTA,41.391988,-70.522859,82
13OUTVTA,41.391259,-70.518769,83
13OUTVTA,41.390881,-70.517534,84
13OUTVTA,41.39088,-70.516569,85
13OUTVTA,41.391002,-70.514634,86
13OUTVTA,41.390351,-70.515173,87
1INVTA,41.391,-70.514621,1
1INVTA,41.39032,-70.515165,2
1INVTA,41.390866,-70.516548,3
1INVTA,41.390854,-70.51742,4
1INVTA,41.391216,-70.518609,5
1INVTA,41.392026,-70.522843,6
1INVTA,41.393281,-70.525425,7
1INVTA,41.394344,-70.527025,8
1INVTA,41.394821,-70.528605,9
1INVTA,41.394821,-70.528627,10
1INVTA,41.396764,-70.536172,11
1INVTA,41.398752,-70.544259,12
1INVTA,41.399292,-70.546241,13
1INVTA,41.400532,-70.549613,14
1INVTA,41.401157,-70.551266,15
1INVTA,41.40357,-70.556787,16
1INVTA,41.408323,-70.56761,17
1INVTA,41.408339,-70.567673,18
1INVTA,41.409924,-70.571376,19
1INVTA,41.411193,-70.573736,20
1INVTA,41.41381,-70.578161,21
1INVTA,41.414955,-70.5803,22
1INVTA,41.41586,-70.583105,23
1INVTA,41.416885,-70.586659,24
1INVTA,41.418861,-70.594334,25
1INVTA,41.420889,-70.601839,26
1INVTA,41.421718,-70.60397,27
1INVTA,41.423983,-70.606561,28
1INVTA,41.424822,-70.607277,29
1INVTA,41.426737,-70.607844,30
1INVTA,41.432097,-70.608362,31
1INVTA,41.435166,-70.607913,32
1INVTA,41.437223,-70.6081,33
1INVTA,41.438572,-70.608192,34
1INVTA,41.438724,-70.608207,35
1INVTA,41.439527,-70.608372,36
1INVTA,41.439999,-70.608616,37
1INVTA,41.440964,-70.609226,38
1INVTA,41.441488,-70.60939,39
1INVTA,41.442249,-70.609406,40
1INVTA,41.443274,-70.60922,41
1INVTA,41.443346,-70.60922,42
1INVTA,41.444757,-70.608936,43
1INVTA,41.445244,-70.608771,44
1INVTA,41.448099,-70.607195,45
1INVTA,41.448578,-70.606991,46
1INVTA,41.450733,-70.606344,47
1INVTA,41.450957,-70.606289,48
1INVTA,41.451545,-70.606473,49
1INVTA,41.45197,-70.60579,50
1INVTA,41.452329,-70.605245,51
1INVTA,41.452516,-70.604678,52
1INVTA,41.452801,-70.604177,53
1INVTA,41.453111,-70.603861,54
1INVTA,41.45351,-70.603338,55
1INVTA,41.453932,-70.601192,56
1INVTA,41.455269,-70.601326,57
1OUTVTA,41.455216,-70.601361,1
1OUTVTA,41.453932,-70.601192,2
1OUTVTA,41.45351,-70.603338,3
1OUTVTA,41.453111,-70.603861,4
1OUTVTA,41.452801,-70.604177,5
1OUTVTA,41.452516,-70.604678,6
1OUTVTA,41.452329,-70.605245,7
1OUTVTA,41.45197,-70.60579,8
1OUTVTA,41.451545,-70.606473,9
1OUTVTA,41.450957,-70.606289,10
1OUTVTA,41.450733,-70.606344,11
1OUTVTA,41.448578,-70.606991,12
1OUTVTA,41.448099,-70.607195,13
1OUTVTA,41.445244,-70.608771,14
1OUTVTA,41.444757,-70.608936,15
1OUTVTA,41.443346,-70.60922,16
1OUTVTA,41.443274,-70.60922,17
1OUTVTA,41.442249,-70.609406,18
1OUTVTA,41.441488,-70.60939,19
1OUTVTA,41.440964,-70.609226,20
1OUTVTA,41.439999,-70.608616,21
1OUTVTA,41.439527,-70.608372,22
1OUTVTA,41.438823,-70.60823,23
1OUTVTA,41.437223,-70.6081,24
1OUTVTA,41.435166,-70.607913,25
1OUTVTA,41.432097,-70.608362,26
1OUTVTA,41.426737,-70.607844,27
1OUTVTA,41.424822,-70.607277,28
1OUTVTA,41.423983,-70.606561,29
1OUTVTA,41.421718,-70.60397,30
1OUTVTA,41.420889,-70.601839,31
1OUTVTA,41.418952,-70.594587,32
1OUTVTA,41.418895,-70.594469,33
1OUTVTA,41.416822,-70.586696,34
1OUTVTA,41.41586,-70.583105,35
1OUTVTA,41.414955,-70.5803,36
1OUTVTA,41.41381,-70.578161,37
1OUTVTA,41.411193,-70.573736,38
1OUTVTA,41.409924,-70.571376,39
1OUTVTA,41.408339,-70.567673,40
1OUTVTA,41.408323,-70.56761,41
1OUTVTA,41.40357,-70.556787,42
1OUTVTA,41.401157,-70.551266,43
1OUTVTA,41.400532,-70.549613,44
1OUTVTA,41.399292,-70.546241,45
1OUTVTA,41.398752,-70.544259,46
1OUTVTA,41.396764,-70.536172,47
1OUTVTA,41.394821,-70.528627,48
1OUTVTA,41.394821,-70.528605,49
1OUTVTA,41.394344,-70.527025,50
1OUTVTA,41.393281,-70.525425,51
1OUTVTA,41.392026,-70.522843,52
1OUTVTA,41.391216,-70.518609,53
1OUTVTA,41.390854,-70.51742,54
1OUTVTA,41.390866,-70.516548,55
1OUTVTA,41.39032,-70.515165,56
1OUTVTA,41.391004,-70.514584,57
2INVTA,41.382015,-70.674491,1
2INVTA,41.382695,-70.674184,2
2INVTA,41.383064,-70.67374,3
2INVTA,41.382674,-70.672296,4
2INVTA,41.382759,-70.671425,5
2INVTA,41.382802,-70.670014,6
2INVTA,41.385241,-70.669977,7
2INVTA,41.385781,-70.670027,8
2INVTA,41.386494,-70.670066,9
2INVTA,41.387653,-70.67012,10
2INVTA,41.388567,-70.670074,11
2INVTA,41.389218,-70.669927,12
2INVTA,41.390166,-70.669836,13
2INVTA,41.390704,-70.669602,14
2INVTA,41.392319,-70.668372,15
2INVTA,41.393199,-70.667717,16
2INVTA,41.395702,-70.666215,17
2INVTA,41.397858,-70.664862,18
2INVTA,41.400142,-70.663213,19
2INVTA,41.403111,-70.66094,20
2INVTA,41.407898,-70.657382,21
2INVTA,41.412289,-70.654055,22
