trip_id,arrival_time,departure_time,stop_id,stop_sequence

1HIGH_IN_1VTA,00:07:00,00:00:00,CHURCVTA,1
1HIGH_IN_1VTA,00:13:00,00:00:00,FELIXNECK,2
1HIGH_IN_1VTA,00:17:00,00:00:00,SKATEVTA,3
1HIGH_IN_1VTA,00:20:00,00:00:00,MVCAMP,4
1HIGH_IN_1VTA,00:26:00,00:00:00,VINEYVTA,5

1HIGH_IN_2VTA,01:00:00,00:00:00,CHURCVTA,1
1HIGH_IN_2VTA,01:06:00,00:00:00,FELIXNECK,2
1HIGH_IN_2VTA,01:10:00,00:00:00,SKATEVTA,3
1HIGH_IN_2VTA,01:13:00,00:00:00,MVCAMP,4
1HIGH_IN_2VTA,01:19:00,00:00:00,VINEYVTA,5

1HIGH_IN_3VTA,01:45:00,00:00:00,CHURCVTA,1
1HIGH_IN_3VTA,01:51:00,00:00:00,FELIXNECK,2
1HIGH_IN_3VTA,01:55:00,00:00:00,SKATEVTA,3

1HIGH_IN_5VTA,05:37:00,00:00:00,CHURCVTA,1
1HIGH_IN_5VTA,05:43:00,00:00:00,FELIXNECK,2
1HIGH_IN_5VTA,05:47:00,00:00:00,SKATEVTA,3
1HIGH_IN_5VTA,05:50:00,00:00:00,MVCAMP,4
1HIGH_IN_5VTA,05:56:00,00:00:00,VINEYVTA,5

1HIGH_IN_6VTA,06:30:00,00:00:00,CHURCVTA,1
1HIGH_IN_6VTA,06:36:00,00:00:00,FELIXNECK,2
1HIGH_IN_6VTA,06:40:00,00:00:00,SKATEVTA,3
1HIGH_IN_6VTA,06:43:00,00:00:00,MVCAMP,4
1HIGH_IN_6VTA,06:49:00,00:00:00,VINEYVTA,5

1HIGH_IN_7VTA,07:07:00,00:00:00,CHURCVTA,1
1HIGH_IN_7VTA,07:13:00,00:00:00,FELIXNECK,2
1HIGH_IN_7VTA,07:17:00,00:00:00,SKATEVTA,3
1HIGH_IN_7VTA,07:20:00,00:00:00,MVCAMP,4
1HIGH_IN_7VTA,07:27:00,00:00:00,VINEYVTA,5

