route_id,service_id,trip_id,trip_headsign,shape_id

1VTA,VTASPRING16,1SPR16_IN_1VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_2VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_3VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_4VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_5VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_6VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_7VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_8VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_9VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_10VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_11VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_12VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_13VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_14VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_15VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_16VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_17VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_18VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_19VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_20VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_21VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_22VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_23VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_24VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_25VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_26VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_27VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_28VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_29VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_30VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_31VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_32VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_33VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_34VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_35VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_36VTA,Vineyard Haven,1INVTA
1VTA,VTASPRING16,1SPR16_IN_37VTA,Vineyard Haven,1INVTA
1VTA,VSPRFRISAT16,1SPR16FS_IN_1VTA,Vineyard Haven,1INVTA
1VTA,VSPRSATSUN16,1SPR16SS_IN_1VTA,Vineyard Haven,1INVTA

1VTA,VTASPRING16,1SPR16_OUT_1VTA,Edgartown,1OUTVTA
1VTA,VTASPRING16,1SPR16_OUT_2VTA,Edgartown,1OUTVTA
1VTA,VTASPRING16,1SPR16_OUT_3VTA,Edgartown,1OUTVTA
1VTA,VTASPRING16,1SPR16_OUT_4VTA,Edgartown,1OUTVTA
1VTA,VTASPRING16,1SPR16_OUT_5VTA,Edgartown,1OUTVTA
1VTA,VTASPRING16,1SPR16_OUT_6VTA,Edgartown,1OUTVTA
1VTA,VTASPRING16,1SPR16_OUT_7VTA,Edgartown,1OUTVTA
1VTA,VTASPRING16,1SPR16_OUT_8VTA,Edgartown,1OUTVTA
