service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily1,1,1,1,1,1,1,1,20140426,20141013
Daily2,1,1,1,1,1,1,1,20140621,20141013
Daily3,1,1,1,1,1,1,1,20140524,20141013
Daily4,1,1,1,1,1,1,1,20140621,20141013
Daily5,1,1,1,1,1,1,1,20140701,20140831
SpringVTA,1,1,1,1,1,1,1,20140426,20141013
Spring1VTA,1,1,1,1,1,1,1,20140426,20140523
SummerVTA,1,1,1,1,1,1,1,20140621,20141013
FallVTA,1,1,1,1,1,1,1,20140902,20141013
FrSa1,0,0,0,0,1,1,0,20140426,20141011
FrSa2,0,0,0,0,1,1,0,20140426,20140620
FrSa3,0,0,0,0,1,1,0,20140905,20141011
WinterVTA,1,1,1,1,1,1,1, 20141014,20150501
WinterVTA1,1,1,1,1,1,1,1,20141014,20141208
WinterVTA2,1,1,1,1,1,1,1,20141014,20151129
WinterVTA3,1,1,1,1,1,1,1,20150327,20150501
