route_id,service_id,trip_id,trip_headsign,shape_id
13VTA,WinterVTA,13Oct_OUT_1VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_2VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_3VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_4VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_5VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_6VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_7VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_8VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_9VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_10VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_11VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_12VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_13VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_14VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_15VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_16VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_17VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_18VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_19VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_20VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_21VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_22VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_23VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_24VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_25VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_26VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_27VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_28VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_29VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_OUT_30VTA,Edgartown,13OUTVTA
13VTA,WinterVTA,13Oct_IN_1VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_2VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_3VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_4VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_5VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_6VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_7VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_8VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_9VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_10VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_11VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_12VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_13VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_14VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_15VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_16VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_17VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_18VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_19VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_20VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_21VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_22VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_23VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_24VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_25VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_26VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_27VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_28VTA,Vineyard Haven,13INVTA
13VTA,WinterVTA,13Oct_IN_29VTA,Vineyard Haven,13INVTA
10AVTA,WinterVTA,10aOct_LOOP_1VTA,,10AVTA
10AVTA,WinterVTA,10aOct_LOOP_2VTA,,10AVTA
10AVTA,WinterVTA,10aOct_LOOP_3VTA,,10AVTA
10AVTA,WinterVTA,10aOct_LOOP_4VTA,,10AVTA
10AVTA,WinterVTA,10aOct_LOOP_5VTA,,10AVTA
10AVTA,WinterVTA,10aOct_LOOP_6VTA,,10AVTA
10AVTA,WinterVTA,10aOct_LOOP_7VTA,,10AVTA
10AVTA,WinterVTA,10aOct_LOOP_8VTA,,10AVTA
10AVTA,WinterVTA,10aOct_LOOP_9VTA,,10AVTA
10VTA,WinterVTA,10Oct_TRIP_1VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_2VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_3VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_4VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_5VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_6VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_7VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_8VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_9VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_10VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_11VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_12VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_13VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_14VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_15VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_16VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_17VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_18VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_19VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_20VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_21VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_22VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_23VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_24VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_25VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_26VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_27VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_28VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_29VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_30VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_31VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_32VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_33VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_34VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_35VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_36VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_37VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_38VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_39VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_40VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_41VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_42VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_43VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_44VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_45VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_46VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_47VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_48VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_49VTA,,10VTA
10VTA,WinterVTA,10Oct_TRIP_50VTA,,10VTA
